symbol,company,sector,headquarters,fecha_fundada
CHD,Church & Dwight,Productos básicos,"Ewing, New Jersey",1847
CI,Cigna,Cuidado de Salud,"Bloomfield, Connecticut",1982
CINF,Cincinnati Financial,Finanzas,"Fairfield, Ohio",1950
CTAS,Cintas,Industriales,"Mason, Ohio",1929
CSCO,Cisco,Tecnología Informática,"San Jose, California",1984
C,Citigroup,Finanzas,"New York City, New York",1998
CFG,Citizens Financial Group,Finanzas,"Providence, Rhode Island",1828
CLX,Clorox,Productos básicos,"Oakland, California",1913
CME,CME Group,Finanzas,"Chicago, Illinois",1848
CMS,CMS Energy,Utilidades,"Jackson, Michigan",1886
KO,The Coca-Cola Company,Productos básicos,"Atlanta, Georgia",1886
CTSH,Cognizant,Tecnología Informática,"Teaneck, New Jersey",1994
CL,Colgate-Palmolive,Productos básicos,"New York City, New York",1806
CMCSA,Comcast,Servicios de Comunicación,"Philadelphia, Pennsylvania",1963
CMA,Comerica,Finanzas,"Dallas, Texas",1849
CAG,ConAgra Foods,Productos básicos,"Chicago, Illinois",1919
COP,ConocoPhillips,Energía,"Houston, Texas",2002
ED,Consolidated Edison,Utilidades,"New York City, New York",1823
STZ,Constellation Brands,Productos básicos,"Victor, New York",1945
CEG,Constellation Energy,Utilidades,"Baltimore, Maryland",1999
COO,CooperCompanies,Cuidado de Salud,"San Ramon, California",1958
CPRT,Copart,Industriales,"Dallas, Texas",1982
GLW,Corning Inc.,Tecnología Informática,"Corning, New York",1851
CTVA,Corteva,Materiales,"Indianapolis, Indiana",2019
CSGP,CoStar Group,Industriales,Washington D. C.,1987
COST,Costco,Productos básicos,"Issaquah, Washington",1976
CTRA,Coterra,Energía,"Houston, Texas",2021 (1989)
CCI,Crown Castle,Bienes Raíces,"Houston, Texas",1994
CSX,CSX,Industriales,"Jacksonville, Florida",1980
CMI,Cummins,Industriales,"Columbus, Indiana",1919
CVS,CVS Health,Cuidado de Salud,"Woonsocket, Rhode Island",1996
DHI,D.R. Horton,Consumo Discrecional,"Arlington, Texas",1978
DHR,Danaher Corporation,Cuidado de Salud,Washington D. C.,1969
DRI,Darden Restaurants,Consumo Discrecional,"Orlando, Florida",1938
DVA,DaVita Inc.,Cuidado de Salud,"Denver, Colorado",1979
DE,John Deere,Industriales,"Moline, Illinois",1837
DAL,Delta Air Lines,Industriales,"Atlanta, Georgia",1929
XRAY,Dentsply Sirona,Cuidado de Salud,"Charlotte, North Carolina",2016 (1969)
DVN,Devon Energy,Energía,"Oklahoma City, Oklahoma",1971
DXCM,Dexcom,Cuidado de Salud,"San Diego, California",1999
FANG,Diamondback Energy,Energía,"Midland, Texas",2007
DLR,Digital Realty,Bienes Raíces,"Austin, Texas",2004
DFS,Discover Financial,Finanzas,"Riverwoods, Illinois",1985
DISH,Dish Network,Servicios de Comunicación,"Meridian, Colorado",1980
DIS,Disney,Servicios de Comunicación,"Burbank, California",1923
DG,Dollar General,Consumo Discrecional,"Goodlettsville, Tennessee",1939
DLTR,Dollar Tree,Consumo Discrecional,"Chesapeake, Virginia",1986
D,Dominion Energy,Utilidades,"Richmond, Virginia",1983
DPZ,Domino's,Consumo Discrecional,"Ann Arbor, Michigan",1960
DOV,Dover Corporation,Industriales,"Downers Grove, Illinois",1955
DOW,Dow Inc.,Materiales,"Midland, Michigan",2019
DTE,DTE Energy,Utilidades,"Detroit, Michigan",1995
DUK,Duke Energy,Utilidades,"Charlotte, North Carolina",1904
DD,DuPont,Materiales,"Wilmington, Delaware",2017
DXC,DXC Technology,Tecnología Informática,"Tysons Corner, Virginia",2017
EMN,Eastman Chemical Company,Materiales,"Kingsport, Tennessee",1920
ETN,Eaton Corporation,Industriales,"Dublin, Ireland",1911
EBAY,eBay,Consumo Discrecional,"San Jose, California",1995
ECL,Ecolab,Materiales,"Saint Paul, Minnesota",1923
EIX,Edison International,Utilidades,"Rosemead, California",1886
EW,Edwards Lifesciences,Cuidado de Salud,"Irvine, California",1958
EA,Electronic Arts,Servicios de Comunicación,"Redwood City, California",1982
ELV,Elevance Health,Cuidado de Salud,"Indianapolis, Indiana",2014 (1946)
LLY,Eli Lilly and Company,Cuidado de Salud,"Indianapolis, Indiana",1876
EMR,Emerson Electric,Industriales,"Ferguson, Missouri",1890
ENPH,Enphase,Tecnología Informática,"Fremont, California",2006
ETR,Entergy,Utilidades,"New Orleans, Louisiana",1913
EOG,EOG Resources,Energía,"Houston, Texas",1999
EPAM,EPAM Systems,Tecnología Informática,"Newtown, Pennsylvania",1993
EQT,EQT,Energía,"Pittsburgh, Pennsylvania",1888
EFX,Equifax,Industriales,"Atlanta, Georgia",1899
EQIX,Equinix,Bienes Raíces,"Redwood City, California",1998
EQR,Equity Residential,Bienes Raíces,"Chicago, Illinois",1969
ESS,Essex Property Trust,Bienes Raíces,"San Mateo, California",1971
EL,The Estée Lauder Companies,Productos básicos,"New York City, New York",1946
ETSY,Etsy,Consumo Discrecional,"New York City, New York",2005
RE,Everest Re,Finanzas,"Hamilton, Bermuda",1973
EVRG,Evergy,Utilidades,"Kansas City, Missouri",1909
ES,Eversource,Utilidades,"Hartford, Connecticut",1966
EXC,Exelon,Utilidades,"Chicago, Illinois",2000
EXPE,Expedia Group,Consumo Discrecional,"Seattle, Washington",1996
EXPD,Expeditors International,Industriales,"Seattle, Washington",1979
EXR,Extra Space Storage,Bienes Raíces,"Salt Lake City, Utah",1977
XOM,ExxonMobil,Energía,"Irving, Texas",1999
FFIV,"F5, Inc.",Tecnología Informática,"Seattle, Washington",1996
FDS,FactSet,Finanzas,"Norwalk, Connecticut",1978
FAST,Fastenal,Industriales,"Winona, Minnesota",1967
FRT,Federal Realty,Bienes Raíces,"Rockville, Maryland",1962
FDX,FedEx,Industriales,"Memphis, Tennessee",1971
FITB,Fifth Third Bank,Finanzas,"Cincinnati, Ohio",1858
FRC,First Republic Bank,Finanzas,"San Francisco, California",1985
FSLR,First Solar,Tecnología Informática,"Tempe, Arizona",1999
FE,FirstEnergy,Utilidades,"Akron, Ohio",1997
FIS,FIS,Tecnología Informática,"Jacksonville, Florida",1968
FISV,Fiserv,Tecnología Informática,"Brookfield, Wisconsin",1984
FLT,Fleetcor,Tecnología Informática,"Atlanta, Georgia",2000
FMC,FMC Corporation,Materiales,"Philadelphia, Pennsylvania",1883
F,Ford Motor Company,Consumo Discrecional,"Dearborn, Michigan",1903
FTNT,Fortinet,Tecnología Informática,"Sunnyvale, California",2000
FTV,Fortive,Industriales,"Everett, Washington",2016
FOXA,Fox Corporation (Class A),Servicios de Comunicación,"New York City, New York",2019
FOX,Fox Corporation (Class B),Servicios de Comunicación,"New York City, New York",2019
BEN,Franklin Templeton,Finanzas,"San Mateo, California",1947
FCX,Freeport-McMoRan,Materiales,"Phoenix, Arizona",1912
GRMN,Garmin,Consumo Discrecional,"Schaffhausen, Switzerland",1989
IT,Gartner,Tecnología Informática,"Stamford, Connecticut",1979
GEHC,GE HealthCare,Cuidado de Salud,"Chicago, Illinois",1994
GEN,Gen Digital,Tecnología Informática,"Tempe, Arizona",1982
GNRC,Generac,Industriales,"Waukesha, Wisconsin",1959
GD,General Dynamics,Industriales,"Falls Church, Virginia",1899
GE,General Electric,Industriales,"Boston, Massachusetts",1892
GIS,General Mills,Productos básicos,"Golden Valley, Minnesota",1856
GM,General Motors,Consumo Discrecional,"Detroit, Michigan",1908
GPC,Genuine Parts Company,Consumo Discrecional,"Atlanta, Georgia",1925
GILD,Gilead Sciences,Cuidado de Salud,"Foster City, California",1987
GL,Globe Life,Finanzas,"McKinney, Texas",1900
GPN,Global Payments,Tecnología Informática,"Atlanta, Georgia",2000
GS,Goldman Sachs,Finanzas,"New York City, New York",1869
HAL,Halliburton,Energía,"Houston, Texas",1919
HIG,Hartford (The),Finanzas,"Hartford, Connecticut",1810
HAS,Hasbro,Consumo Discrecional,"Pawtucket, Rhode Island",1923
HCA,HCA Healthcare,Cuidado de Salud,"Nashville, Tennessee",1968
PEAK,Healthpeak,Bienes Raíces,"Long Beach, California",1985
HSIC,Henry Schein,Cuidado de Salud,"Melville, New York",1932
HSY,Hershey's,Productos básicos,"Hershey, Pennsylvania",1894
HES,Hess Corporation,Energía,"New York City, New York",1919
HPE,Hewlett Packard Enterprise,Tecnología Informática,"Houston, Texas",2015
HLT,Hilton Worldwide,Consumo Discrecional,"Tysons Corner, Virginia",1919
HOLX,Hologic,Cuidado de Salud,"Marlborough, Massachusetts",1985
HD,The Home Depot,Consumo Discrecional,"Atlanta, Georgia",1978
HON,Honeywell,Industriales,"Charlotte, North Carolina",1906
HRL,Hormel Foods,Productos básicos,"Austin, Minnesota",1891
HST,Host Hotels & Resorts,Bienes Raíces,"Bethesda, Maryland",1993
HWM,Howmet Aerospace,Industriales,"Pittsburgh, Pennsylvania",2016
HPQ,HP Inc.,Tecnología Informática,"Palo Alto, California",1939 (2015)
HUM,Humana,Cuidado de Salud,"Louisville, Kentucky",1961
HBAN,Huntington Bancshares,Finanzas,"Columbus, Ohio; Detroit, Michigan",1866
HII,Huntington Ingalls Industries,Industriales,"Newport News, Virginia",2011
IBM,IBM,Tecnología Informática,"Armonk, New York",1911
IEX,IDEX Corporation,Industriales,"Lake Forest, Illinois",1988
IDXX,Idexx Laboratories,Cuidado de Salud,"Westbrook, Maine",1983
ITW,Illinois Tool Works,Industriales,"Glenview, Illinois",1912
ILMN,Illumina,Cuidado de Salud,"San Diego, California",1998
INCY,Incyte,Cuidado de Salud,"Wilmington, Delaware",1991
IR,Ingersoll Rand,Industriales,"Davidson, North Carolina",1859
INTC,Intel,Tecnología Informática,"Santa Clara, California",1968
ICE,Intercontinental Exchange,Finanzas,"Atlanta, Georgia",2000
IP,International Paper,Materiales,"Memphis, Tennessee",1898
IPG,The Interpublic Group of Companies,Servicios de Comunicación,"New York City, New York",1961 (1930)
IFF,International Flavors & Fragrances,Materiales,"New York City, New York",1958 (1889)
INTU,Intuit,Tecnología Informática,"Mountain View, California",1983
ISRG,Intuitive Surgical,Cuidado de Salud,"Sunnyvale, California",1995
IVZ,Invesco,Finanzas,"Atlanta, Georgia",1935
INVH,Invitation Homes,Bienes Raíces,"Dallas, Texas",2012
IQV,IQVIA,Cuidado de Salud,"Durham, North Carolina",1982
IRM,Iron Mountain,Bienes Raíces,"Boston, Massachusetts",1951
JBHT,J.B. Hunt,Industriales,"Lowell, Arkansas",1961
JKHY,Jack Henry & Associates,Tecnología Informática,"Monett, Missouri",1976
J,Jacobs Solutions,Industriales,"Dallas, Texas",1947
JNJ,Johnson & Johnson,Cuidado de Salud,"New Brunswick, New Jersey",1886
JCI,Johnson Controls,Industriales,"Cork, Ireland",1885
JPM,JP Morgan Chase,Finanzas,"New York City, New York",2000 (1799 / 1871)
JNPR,Juniper Networks,Tecnología Informática,"Sunnyvale, California",1996
K,Kellogg's,Productos básicos,"Battle Creek, Michigan",1906
KDP,Keurig Dr Pepper,Productos básicos,"Burlington, Massachusetts",1981
KEY,KeyCorp,Finanzas,"Cleveland, Ohio",1825
KEYS,Keysight,Tecnología Informática,"Santa Rosa, California",2014 (1939)
KMB,Kimberly-Clark,Productos básicos,"Irving, Texas",1872
KIM,Kimco Realty,Bienes Raíces,"New Hyde Park, New York",1958
KMI,Kinder Morgan,Energía,"Houston, Texas",1997
KLAC,KLA Corporation,Tecnología Informática,"Milpitas, California",1975/1977 (1997)
KHC,Kraft Heinz,Productos básicos,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869)
KR,Kroger,Productos básicos,"Cincinnati, Ohio",1883
LHX,L3Harris,Industriales,"Melbourne, Florida",2019 (1895)
LH,LabCorp,Cuidado de Salud,"Burlington, North Carolina",1978
LRCX,Lam Research,Tecnología Informática,"Fremont, California",1980
LW,Lamb Weston,Productos básicos,"Eagle, Idaho",2016 (1950)
LVS,Las Vegas Sands,Consumo Discrecional,"Las Vegas, Nevada",1988
LDOS,Leidos,Industriales,"Reston, Virginia",1969
LEN,Lennar,Consumo Discrecional,"Miami, Florida",1954
LNC,Lincoln Financial,Finanzas,"Radnor, Pennsylvania",1905
LIN,Linde plc,Materiales,"Guildford, United Kingdom",1879
LYV,Live Nation Entertainment,Servicios de Comunicación,"Beverly Hills, California",2010
LKQ,LKQ Corporation,Consumo Discrecional,"Chicago, Illinois",1998
LMT,Lockheed Martin,Industriales,"Bethesda, Maryland",1995
L,Loews Corporation,Finanzas,"New York City, New York",1959
LOW,Lowe's,Consumo Discrecional,"Mooresville, North Carolina",1904/1946/1959
LUMN,Lumen Technologies,Servicios de Comunicación,"Monroe, Louisiana",1983 (1877)
LYB,LyondellBasell,Materiales,"Rotterdam, Netherlands",2007
MTB,M&T Bank,Finanzas,"Buffalo, New York",1856
MRO,Marathon Oil,Energía,"Houston, Texas",1887
MPC,Marathon Petroleum,Energía,"Findlay, Ohio",2009 (1887)
MKTX,MarketAxess,Finanzas,"New York City, New York",2000
MAR,Marriott International,Consumo Discrecional,"Bethesda, Maryland",1927
MMC,Marsh McLennan,Finanzas,"New York City, New York",1905
MLM,Martin Marietta Materials,Materiales,"Raleigh, North Carolina",1993
MAS,Masco,Industriales,"Livonia, Michigan",1929
MA,Mastercard,Tecnología Informática,"Harrison, New York",1966
MTCH,Match Group,Servicios de Comunicación,"Dallas, Texas",1986
MKC,McCormick Company,Productos básicos,"Hunt Valley, Maryland",1889
MCD,McDonald's,Consumo Discrecional,"Chicago, Illinois",1940
MCK,McKesson,Cuidado de Salud,"Irving, Texas",1833
MDT,Medtronic,Cuidado de Salud,"Dublin, Ireland",1949
MRK,Merck & Co.,Cuidado de Salud,"Kenilworth, New Jersey",1891
META,Meta Platforms,Servicios de Comunicación,"Menlo Park, California",2004
MET,MetLife,Finanzas,"New York City, New York",1868
MTD,Mettler Toledo,Cuidado de Salud,"Columbus, Ohio",1945
MGM,MGM Resorts,Consumo Discrecional,"Paradise, Nevada",1986
MCHP,Microchip Technology,Tecnología Informática,"Chandler, Arizona",1989
MU,Micron Technology,Tecnología Informática,"Boise, Idaho",1978
MSFT,Microsoft,Tecnología Informática,"Redmond, Washington",1975
MAA,Mid-America Apartment Communities,Bienes Raíces,"Memphis, Tennessee",1977
MRNA,Moderna,Cuidado de Salud,"Cambridge, Massachusetts",2010
MHK,Mohawk Industries,Consumo Discrecional,"Calhoun, Georgia",1878
MOH,Molina Healthcare,Cuidado de Salud,"Long Beach, California",1980
TAP,Molson Coors Beverage Company,Productos básicos,"Chicago, Illinois","2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Productos básicos,"Chicago, Illinois",2012
MPWR,Monolithic Power Systems,Tecnología Informática,"Kirkland, Washington",1997
MNST,Monster Beverage,Productos básicos,"Corona, California",2012 (1935)
MCO,Moody's,Finanzas,"New York City, New York",1909
MS,Morgan Stanley,Finanzas,"New York City, New York",1935
MOS,The Mosaic Company,Materiales,"Tampa, Florida",2004 (1865 / 1909)
MSI,Motorola Solutions,Tecnología Informática,"Chicago, Illinois",1928 (2011)
MSCI,MSCI,Finanzas,"New York City, New York",1969
NDAQ,"Nasdaq, Inc.",Finanzas,"New York City, New York",1971
NTAP,NetApp,Tecnología Informática,"San Jose, California",1992
NFLX,Netflix,Servicios de Comunicación,"Los Gatos, California",1997
NWL,Newell Brands,Consumo Discrecional,"Atlanta, Georgia",1903
NEM,Newmont,Materiales,"Denver, Colorado",1921
NWSA,News Corp (Class A),Servicios de Comunicación,"New York City, New York",2013 (1980)
NWS,News Corp (Class B),Servicios de Comunicación,"New York City, New York",2013 (1980)
NEE,NextEra Energy,Utilidades,"Juno Beach, Florida",1984 (1925)
NKE,"Nike, Inc.",Consumo Discrecional,"Washington County, Oregon",1964
NI,NiSource,Utilidades,"Merrillville, Indiana",1912
NDSN,Nordson Corporation,Industriales,"Westlake, Ohio",1935
NSC,Norfolk Southern Railway,Industriales,"Atlanta, Georgia",1881/1894 (1980)
NTRS,Northern Trust,Finanzas,"Chicago, Illinois",1889
NOC,Northrop Grumman,Industriales,"West Falls Church, Virginia","1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumo Discrecional,"Miami, Florida",2011 (1966)
NRG,NRG Energy,Utilidades,"Houston, Texas",1992
NUE,Nucor,Materiales,"Charlotte, North Carolina",1940
NVDA,Nvidia,Tecnología Informática,"Santa Clara, California",1993
NVR,"NVR, Inc.",Consumo Discrecional,"Reston, Virginia",1980
NXPI,NXP Semiconductors,Tecnología Informática,"Eindhoven, Netherlands",1953
ORLY,O'Reilly Auto Parts,Consumo Discrecional,"Springfield, Missouri",1957
OXY,Occidental Petroleum Corporation,Energía,"Houston, Texas",1920
ODFL,Old Dominion,Industriales,"Thomasville, North Carolina",1934
OMC,Omnicom Group,Servicios de Comunicación,"New York City, New York",1986
ON,ON Semiconductor,Tecnología Informática,"Phoenix, Arizona",1999
OKE,ONEOK,Energía,"Tulsa, Oklahoma",1906
ORCL,Oracle Corporation,Tecnología Informática,"Austin, Texas",1977
OGN,Organon & Co.,Cuidado de Salud,"Jersey City, New Jersey",2021
OTIS,Otis Elevator Company,Industriales,"Farmington, Connecticut",2020 (1853)
PCAR,Paccar,Industriales,"Bellevue, Washington",1905
PKG,Packaging Corporation of America,Materiales,"Lake Forest, Illinois",1959
PARA,Paramount Global,Servicios de Comunicación,"New York City, New York",2019 (1952)
PH,Parker Hannifin,Industriales,"Cleveland, Ohio",1917
PAYX,Paychex,Tecnología Informática,"Penfield, New York",1971
PAYC,Paycom,Tecnología Informática,"Oklahoma City, Oklahoma",1998
PYPL,PayPal,Tecnología Informática,"San Jose, California",1998
PNR,Pentair,Industriales,"Worsley, United Kingdom",1966
PEP,PepsiCo,Productos básicos,"Purchase, New York",1898
PKI,PerkinElmer,Cuidado de Salud,"Waltham, Massachusetts",1937
PFE,Pfizer,Cuidado de Salud,"New York City, New York",1849
PCG,PG&E Corporation,Utilidades,"San Francisco, California",1905
PM,Philip Morris International,Productos básicos,"New York City, New York",2008 (1847)
PSX,Phillips 66,Energía,"Houston, Texas",2012 (1917)
PNW,Pinnacle West,Utilidades,"Phoenix, Arizona",1985
PXD,Pioneer Natural Resources,Energía,"Irving, Texas",1997
PNC,PNC Financial Services,Finanzas,"Pittsburgh, Pennsylvania",1845
POOL,Pool Corporation,Consumo Discrecional,"Covington, Louisiana",1993
PPG,PPG Industries,Materiales,"Pittsburgh, Pennsylvania",1883
PPL,PPL Corporation,Utilidades,"Allentown, Pennsylvania",1920
PFG,Principal Financial Group,Finanzas,"Des Moines, Iowa",1879
PG,Procter & Gamble,Productos básicos,"Cincinnati, Ohio",1837
PGR,Progressive Corporation,Finanzas,"Mayfield Village, Ohio",1937
PLD,Prologis,Bienes Raíces,"San Francisco, California",1983
PRU,Prudential Financial,Finanzas,"Newark, New Jersey",1875
PEG,Public Service Enterprise Group,Utilidades,"Newark, New Jersey",1903
PTC,PTC,Tecnología Informática,"Boston, Massachusetts",1985
PSA,Public Storage,Bienes Raíces,"Glendale, California",1972
PHM,PulteGroup,Consumo Discrecional,"Atlanta, Georgia",1956
QRVO,Qorvo,Tecnología Informática,"Greensboro, North Carolina",2015
PWR,Quanta Services,Industriales,"Houston, Texas",1997
QCOM,Qualcomm,Tecnología Informática,"San Diego, California",1985
DGX,Quest Diagnostics,Cuidado de Salud,"Secaucus, New Jersey",1967
RL,Ralph Lauren Corporation,Consumo Discrecional,"New York City, New York",1967
RJF,Raymond James,Finanzas,"St. Petersburg, Florida",1962
RTX,Raytheon Technologies,Industriales,"Waltham, Massachusetts",1922
O,Realty Income,Bienes Raíces,"San Diego, California",1969
REG,Regency Centers,Bienes Raíces,"Jacksonville, Florida",1963
REGN,Regeneron,Cuidado de Salud,"Tarrytown, New York",1988
RF,Regions Financial Corporation,Finanzas,"Birmingham, Alabama",1971
RSG,Republic Services,Industriales,"Phoenix, Arizona",1998 (1981)
RMD,ResMed,Cuidado de Salud,"San Diego, California",1989
RHI,Robert Half,Industriales,"Menlo Park, California",1948
ROK,Rockwell Automation,Industriales,"Milwaukee, Wisconsin",1903
ROL,"Rollins, Inc.",Industriales,"Atlanta, Georgia",1948
ROP,Roper Technologies,Tecnología Informática,"Sarasota, Florida",1981
ROST,Ross Stores,Consumo Discrecional,"Dublin, California",1982
RCL,Royal Caribbean Group,Consumo Discrecional,"Miami, Florida",1997
SPGI,S&P Global,Finanzas,"New York City, New York",1917
CRM,Salesforce,Tecnología Informática,"San Francisco, California",1999
